,Номенклатура,КлассТовара
87,017f7bb9-74ae-11e1-9ee9-001517c526f0,Наименее продаваемый
88,017f7bba-74ae-11e1-9ee9-001517c526f0,Наименее продаваемый
89,017f7bbb-74ae-11e1-9ee9-001517c526f0,Наименее продаваемый
90,01873e57-a07c-11e0-b573-00155d030b07,Наименее продаваемый
91,019224d6-b3ce-11df-bb4a-001517c526f0,Средне продаваемый
92,01a04ba1-08d1-11e1-a6ce-001517c526f0,Средне продаваемый
93,01a04ba2-08d1-11e1-a6ce-001517c526f0,Средне продаваемый
94,01a25225-3292-11dd-adf3-00151716f9f5,Средне продаваемый
95,01be73ee-85e8-11dd-b87f-00151716f9f5,Наиболее продаваемый
96,01be73ef-85e8-11dd-b87f-00151716f9f5,Средне продаваемый
97,01bf78af-7af9-11dd-a0cf-00151716f9f5,Средне продаваемый
98,01caac28-0360-11e0-847b-001517c526f0,Наименее продаваемый
99,01d39a64-dd76-11df-8569-001517c526f0,Наименее продаваемый
100,01e06446-e17f-11df-bafc-001517c526f0,Средне продаваемый
101,01e06447-e17f-11df-bafc-001517c526f0,Средне продаваемый
102,01e06448-e17f-11df-bafc-001517c526f0,Средне продаваемый
103,01e06449-e17f-11df-bafc-001517c526f0,Наиболее продаваемый
104,01e0644a-e17f-11df-bafc-001517c526f0,Средне продаваемый
105,01e0644b-e17f-11df-bafc-001517c526f0,Наиболее продаваемый
106,01e0644c-e17f-11df-bafc-001517c526f0,Наиболее продаваемый
107,01e162e1-875d-11e0-bdeb-00155d030b07,Средне продаваемый
108,01eb2ca2-a935-11e0-b8f6-00155d030b07,Наиболее продаваемый
109,01eb2ca3-a935-11e0-b8f6-00155d030b07,Наиболее продаваемый
110,01eb2ca5-a935-11e0-b8f6-00155d030b07,Наиболее продаваемый
111,01eb2ca6-a935-11e0-b8f6-00155d030b07,Наиболее продаваемый
112,01eb69c4-727b-11dd-89bf-00151716f9f5,Наименее продаваемый
113,01f3ba68-1ae8-11e1-9d32-001517c526f0,Средне продаваемый
114,01f3ba69-1ae8-11e1-9d32-001517c526f0,Средне продаваемый
115,0201c1bb-c7b7-11dc-a7c9-00151716f9f5,Средне продаваемый
116,0214c505-7a52-11de-b404-00151716f9f5,Наименее продаваемый
117,0214c506-7a52-11de-b404-00151716f9f5,Наименее продаваемый
118,0214c50f-7a52-11de-b404-00151716f9f5,Средне продаваемый
119,0217268c-0bb7-11df-a185-00151716f9f5,Средне продаваемый
120,02172692-0bb7-11df-a185-00151716f9f5,Средне продаваемый
121,0233ddaf-f94e-11e0-89eb-001517c526f0,Средне продаваемый
122,023e78c6-2db7-11df-9e0f-001517c526f1,Наиболее продаваемый
123,02439cad-a479-11dc-abc7-00151716f9f5,Средне продаваемый
124,02439cae-a479-11dc-abc7-00151716f9f5,Средне продаваемый
125,02439cb0-a479-11dc-abc7-00151716f9f5,Средне продаваемый
126,02439cb1-a479-11dc-abc7-00151716f9f5,Средне продаваемый
127,02439cb2-a479-11dc-abc7-00151716f9f5,Средне продаваемый
128,02439cb4-a479-11dc-abc7-00151716f9f5,Средне продаваемый
129,02468cbd-4bb3-11e1-a28a-001517c526f0,Средне продаваемый
130,02468cbe-4bb3-11e1-a28a-001517c526f0,Средне продаваемый
131,02468cbf-4bb3-11e1-a28a-001517c526f0,Наименее продаваемый
132,024c8c3e-9834-11de-8bef-00151716f9f5,Средне продаваемый
133,026bf277-08e1-11e1-a6ce-001517c526f0,Средне продаваемый
134,026c5c78-bd39-11de-bd70-00151716f9f5,Средне продаваемый
135,027b79f7-505f-11e1-8f37-001517c526f0,Средне продаваемый
136,027e1bcb-dcd3-11db-817b-001731bb01c7,Наименее продаваемый
137,027ea355-a9b0-11df-b6b2-001517c526f0,Наименее продаваемый
138,0283b35d-5a69-11e0-a2da-001517c526f0,Средне продаваемый
139,0283b35f-5a69-11e0-a2da-001517c526f0,Наименее продаваемый
140,029a701e-2d87-11df-9e0f-001517c526f1,Средне продаваемый
141,029a7021-2d87-11df-9e0f-001517c526f1,Наименее продаваемый
142,029a7025-2d87-11df-9e0f-001517c526f1,Средне продаваемый
143,02b28820-29ea-11e1-bb0d-001517c526f0,Средне продаваемый
144,02c99548-b176-11df-9285-001517c526f0,Наименее продаваемый
145,02df7b06-08bf-11e0-8eb0-001517c526f0,Наименее продаваемый
146,02e30b39-4338-11de-a6ca-00151716f9f5,Средне продаваемый
